x,y
2.91812511932221E-07,5.71308088452467E-14
2.93049993160821E-07,5.83973946025728E-14
2.9428750281113E-07,5.9694158776073E-14
2.9552501246144E-07,6.10220875568487E-14
2.96762493690039E-07,6.23821043930559E-14
2.98000003340348E-07,6.37751540607681E-14
2.99237512990658E-07,6.52020020137796E-14
3.00474994219257E-07,6.66633110985585E-14
3.01712503869567E-07,6.81597322031231E-14
3.02950013519876E-07,6.96916896055156E-14
3.04187494748476E-07,7.12594652288728E-14
3.05425004398785E-07,7.28632984440124E-14
3.06662485627385E-07,7.45031213137901E-14
3.07899995277694E-07,7.61788442837567E-14
3.09137504928003E-07,7.7890087679629E-14
3.10374986156603E-07,7.96362865768733E-14
3.11612495806912E-07,8.14168132001386E-14
3.12850005457221E-07,8.32307379066E-14
3.14087486685821E-07,8.50769512208076E-14
3.1532499633613E-07,8.69543033977957E-14
3.1656250598644E-07,8.88613627407152E-14
3.17799987215039E-07,9.07965563974148E-14
3.19037496865349E-07,9.27583271847864E-14
3.20275006515658E-07,9.47448907921133E-14
3.21512487744258E-07,9.67543936307766E-14
3.22749997394567E-07,9.87850835669137E-14
3.23987507044876E-07,1.00835064658218E-13
3.25224988273476E-07,1.02902466644994E-13
3.26462497923785E-07,1.04985622947066E-13
3.27700007574094E-07,1.07082818979067E-13
3.28937488802694E-07,1.09192465324702E-13
3.30174998453003E-07,1.11313274862424E-13
3.31412508103313E-07,1.1344399973255E-13
3.32649989331912E-07,1.15583600203534E-13
3.33887498982222E-07,1.17731413970619E-13
3.35125008632531E-07,1.19886878070989E-13
3.36362489861131E-07,1.2204968801579E-13
3.3759999951144E-07,1.24219955756693E-13
3.3883748074004E-07,1.26397865368589E-13
3.40074990390349E-07,1.28584071542828E-13
3.41312500040658E-07,1.30779345747664E-13
3.42549981269258E-07,1.32984717708403E-13
3.43787490919567E-07,1.35201617588668E-13
3.45025000569876E-07,1.37431558772437E-13
3.46262481798476E-07,1.39676272927492E-13
3.47499991448785E-07,1.41937848741747E-13
3.48737501099095E-07,1.44218404034813E-13
3.49974982327694E-07,1.46520218846567E-13
3.51212491978004E-07,1.48845875703828E-13
3.52450001628313E-07,1.51197921747119E-13
3.53687482856912E-07,1.53579003543235E-13
3.54924992507222E-07,1.55992012609871E-13
3.56162502157531E-07,1.58439735931037E-13
